Year,Americas,Continent
1900,372659,Africa
1942,593736,Africa
1970,195000,Africa
2010,76200,Africa
1900,31156,Latin America
1942,447840,Latin America
1970,514000,Latin America
2010,389600,Latin America
1900,352340,Asia
1942,774049,Asia
1970,2940000,Asia
2010,5741500,Asia
1900,8977581,Europe
1942,9237314,Europe
1970,3228000,Europe
2010,1455900,Europe
1900,16840,Oceania
1942,26954,Oceania
1970,70000,Oceania
2010,115100,Oceania
1900,1522500,US & Canada
1942,4291929,US & Canada
1970,5686000,US & Canada
2010,5650000,US & Canada
